"PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","C3","RP","EM","RI","OI","FU","FP","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","DL","D2","EA","PG","WC","WE","SC","GA","PM","OA","HC","HP","DA","UT"
"J","COJOCARU, E",NA,NA,NA,"COJOCARU, E",NA,NA,"SPONTANEOUSLY GENERATED MAGNETIC-FIELD IN A LASER-PRODUCED PLASMA","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","5",NA,NA,NA,NA,"443","453",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","POPESCU, IM; STANCIU, GA",NA,NA,NA,"POPESCU, IM; STANCIU, GA",NA,NA,"LASER MEASUREMENT OF CHARACTERISTICS OF SEMICONDUCTOR-MATERIALS AND DEVICES","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","5",NA,NA,NA,NA,"456","466",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","DEMCO, DE; NOVACU, B",NA,NA,NA,"DEMCO, DE; NOVACU, B",NA,NA,"FAST-NEUTRON IRRADIATION EFFECTS ON SUPERCONDUCTORS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","5",NA,NA,NA,NA,"467","483",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","DEMCO, DE; URSU, I",NA,NA,NA,"DEMCO, DE; URSU, I",NA,NA,"PHYSICAL AND BIOLOGICAL STRUCTURES DETERMINATION BY NUCLEAR MAGNETIC-RESONANCE","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","5",NA,NA,NA,NA,"485","513",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","POENARU, DN",NA,NA,NA,"POENARU, DN",NA,NA,"INSTABILITY AGAINST FISSION OF ROTATING NUCLEI FROM HEAVY-IONS COLLISION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","5",NA,NA,NA,NA,"515","527",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","ISBASESCU, M",NA,NA,NA,"ISBASESCU, M",NA,NA,"TEMOOND - GLASS LASER","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","5",NA,NA,NA,NA,"529","+",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","REBIGAN, SN",NA,NA,NA,"REBIGAN, SN",NA,NA,"3 BEAM HOLOGRAPHIC-INTERFEROMETRY","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"539","548",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","MIHAI, S; DECEBAL, V",NA,NA,NA,"MIHAI, S; DECEBAL, V",NA,NA,"SOME THEORETICAL CONSIDERATIONS CONCERNING DIFFUSION OF AN ELASTIC MEDIUM","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"549","553",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","FRATILOIU, G; CRISTEA, G; POSTELNICU, C; SINDILARU, G",NA,NA,NA,"FRATILOIU, G; CRISTEA, G; POSTELNICU, C; SINDILARU, G",NA,NA,"NOISE ANALYSES IN ZERO POWER-REACTORS IN VIEW OF DETERMINATION OF KINETIC-PARAMETERS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"555","569",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","FRATILOIU, G; CRISTEA, G; SINDILARU, G",NA,NA,NA,"FRATILOIU, G; CRISTEA, G; SINDILARU, G",NA,NA,"ANALYSIS AND INTERPRETATION OF EXPERIMENTAL-DATA BY MEANS OF PULSED NEUTRON SOURCE","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"571","593",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","POPOVICI, C; MATEESCU, I; MOLDOVAN, I; BALACEANU, M; IONESCU, G; ROTILEANU, P; COATU, S; GOLOVANOV, N; STOIAN, M",NA,NA,NA,"POPOVICI, C; MATEESCU, I; MOLDOVAN, I; BALACEANU, M; IONESCU, G; ROTILEANU, P; COATU, S; GOLOVANOV, N; STOIAN, M",NA,NA,"DEVICE FOR GENERATION, CONFINEMENT AND HEATING OF HOT PLASMA IN MAGNETIC-MIRROR REFLEX DISCHARGES","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"595","603",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","PADUREANU, I; RAPEANU, S",NA,NA,NA,"PADUREANU, I; RAPEANU, S",NA,NA,"ASPECTS OF ATOMIC SELF-MOTIONS IN SIMPLE LIQUIDS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"605","636",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","BARB, D; BIBICU, I; VOICU, V; PRADA, B",NA,NA,NA,"BARB, D; BIBICU, I; VOICU, V; PRADA, B",NA,NA,"QUANTITATIVE-DETERMINATION OF TIN OXIDE (SNO2) FROM ROCKS BY MOSSBAUER-EFFECT","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"637","642",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","ZAHARIA, CN",NA,NA,NA,"ZAHARIA, CN",NA,NA,"STEREOFLUORIMETRIC ANALYSIS OF EXCITATION AND EMISSION IN A FLUORESCENT SAMPLE","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","6",NA,NA,NA,NA,"643","646",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","BELCIU, I",NA,NA,NA,"BELCIU, I",NA,NA,"ELECTRICAL-PROPERTIES OF SEMICONDUCTING GLASSES CONTAINING TRANSITION-METAL IONS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","7",NA,NA,NA,NA,"651","671",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","SIRBU, M",NA,NA,NA,"SIRBU, M",NA,NA,"ERROR SOURCES APPEARING FOR GAMMA RADIOACTIVE SOURCE MEASUREMENT IN DYNAMIC CONDITION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","7",NA,NA,NA,NA,"673","679",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","PROTOPOPESCU, V",NA,NA,NA,"PROTOPOPESCU, V",NA,NA,"CONTRIBUTIONS TO SPECTRAL THEORY OF LINEAR BOLTZMANN OPERATOR IN VARIOUS GEOMETRIES","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","7",NA,NA,NA,NA,"681","709",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","CUNA, C; IOANOVICIU, D",NA,NA,NA,"CUNA, C; IOANOVICIU, D",NA,NA,"ENERGETIC ANALYSIS OF METASTABLE UNIMOLECULAR TRANSITION AND COLLISION-INDUCED TRANSITION BY STATIC MASS SPECTROMETERS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","7",NA,NA,NA,NA,"711","720",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","PAVELESCU, M",NA,NA,NA,"PAVELESCU, M",NA,NA,"CONSIDERATIONS ON FIELD PROBLEM STRUCTURE","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","7",NA,NA,NA,NA,"721","733",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","CARTIANU, D",NA,NA,NA,"CARTIANU, D",NA,NA,"PHASE-SHIFT ANALYSIS OF 2 NUCLEON-INTERACTION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","7",NA,NA,NA,NA,"735","775",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","IONESCUPALLAS, N; MAURER, J",NA,NA,NA,"IONESCUPALLAS, N; MAURER, J",NA,NA,"TIME-VARYING PERTURBATION-THEORY AND 2 PHOTON ABSORPTION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"779","790",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","POPESCU, NG; OPRAN, ME; HARSANYI, A; IOAN, G; MICLAUS, V; MITYKO, G",NA,NA,NA,"POPESCU, NG; OPRAN, ME; HARSANYI, A; IOAN, G; MICLAUS, V; MITYKO, G",NA,NA,"OPTICAL FIBERS DIGITAL DATA-TRANSMISSION - DESIGN CRITERIAS AND EXPERIMENTAL RESULTS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"791","801",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","CIUBOTARIU, CD",NA,NA,NA,"CIUBOTARIU, CD",NA,NA,"COSMIC BETATRON","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"803","809",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","ALEXANDRU, G",NA,NA,NA,"ALEXANDRU, G",NA,NA,"THRESHOLD OF MASS-SPECTROMETRIC FRAGMENTATION PROCESS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"811","815",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","BESLIU, C; GHIORDANESCU, N; PENTIA, M",NA,NA,NA,"BESLIU, C; GHIORDANESCU, N; PENTIA, M",NA,NA,"SOME INVESTIGATIONS ON RELATIVISTIC NUCLEAR-PHYSICS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"817","849",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","ANTON, V",NA,NA,NA,"ANTON, V",NA,NA,"CALCULATION OF MULTIGROUP CROSS-SECTION TAKING INTO ACCOUNT SELF-SHIELDING","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"851","863",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","SIRBU, M",NA,NA,NA,"SIRBU, M",NA,NA,"BUILDUP FACTOR DETERMINATION FOR MEASUREMENTS IN AIR OF GAMMA RADIOACTIVE SOURCES PLACED ON SOIL","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"865","878",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","APOSTOL, D; BACHMANN, P; MAGHIAR, GH",NA,NA,NA,"APOSTOL, D; BACHMANN, P; MAGHIAR, GH",NA,NA,"IH-2 TRANSMISSION HOLOGRAPHIC BENCH","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Note",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"879","882",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","ARDELEAN, I; MILEA, I",NA,NA,NA,"ARDELEAN, I; MILEA, I",NA,NA,"STUDY OF SOME OPTICAL-PROPERTIES OF XFE2O3.(1-X)[3B2O3PBO] GLASSES","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Note",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","8",NA,NA,NA,NA,"883","886",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","IONESCU, M",NA,NA,NA,"IONESCU, M",NA,NA,"QUANTIC DISTRIBUTION OF MOBILE CARRIERS IN A SURFACE-CHARGE COUPLED DEVICE","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","9",NA,NA,NA,NA,"893","896",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","DEMCO, DE",NA,NA,NA,"DEMCO, DE",NA,NA,"NUCLEAR-SPIN SYSTEMS DYNAMICS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","9",NA,NA,NA,NA,"897","947",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","TUDORACHE, S",NA,NA,NA,"TUDORACHE, S",NA,NA,"ATOMIC LEVEL-CROSSINGS USING LASER EXCITATION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","9",NA,NA,NA,NA,"949","968",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","CIURA, AI; RISTICI, M; VASILIU, V",NA,NA,NA,"CIURA, AI; RISTICI, M; VASILIU, V",NA,NA,"PERTURBATION SPECTROSCOPY ON A 60 MW HE-NE-LASER","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","9",NA,NA,NA,NA,"969","976",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","ZAMBREANU, V",NA,NA,NA,"ZAMBREANU, V",NA,NA,"PHYSICAL MODELS FOR DESCRIPTION OF AN ELECTRODYNAMICALLY ACCELERATED PLASMA SHEATH","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","9",NA,NA,NA,NA,"977","995",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","AVRIGEANU, V",NA,NA,NA,"AVRIGEANU, V",NA,NA,"SCHEMATIC CLASSIFICATION OF NUCLEAR PROCESSES OCCURRING IN HEAVY - ION FUSION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","10",NA,NA,NA,NA,"999","1005",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","BARB, D; DIAMANDESCU, L",NA,NA,NA,"BARB, D; DIAMANDESCU, L",NA,NA,"MOSSBAUER LINESHAPE IN PRESENCE OF ELECTRONIC RELAXATION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","10",NA,NA,NA,NA,"1007","1035",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","IVASCU, M; POENARU, DN",NA,NA,NA,"IVASCU, M; POENARU, DN",NA,NA,"GENERALIZATION OF LIQUID-DROP MODEL AS A THEORY FOR HEAVY-IONS COLLISION","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","10",NA,NA,NA,NA,"1037","1056",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","BALACEANU, M; POPOVICI, C",NA,NA,NA,"BALACEANU, M; POPOVICI, C",NA,NA,"PENNING DISCHARGES","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","10",NA,NA,NA,NA,"1057","1076",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","AVRIGEANU, M",NA,NA,NA,"AVRIGEANU, M",NA,NA,"EXPERIMENTAL INFORMATION FROM GAMMA-SPECTROSCOPY IN HEAVY-IONS INDUCED REACTIONS","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","10",NA,NA,NA,NA,"1077","1099",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","BERCEANU, I; PETRASCU, M; SIMION, V",NA,NA,NA,"BERCEANU, I; PETRASCU, M; SIMION, V",NA,NA,"EVALUATION OF SOLIDANGLE AND SELF-ABSORPTION FACTORS BY MONTE-CARLO METHOD","STUDII SI CERCETARI DE FIZICA",NA,NA,NA,"Note",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"29","10",NA,NA,NA,NA,"1101","1106",NA,NA,NA,NA,NA,NA,"Physics, Multidisciplinary",NA,"Physics",NA,NA,NA,NA,NA,NA,NA
"J","BUCUR, RV",NA,NA,NA,"BUCUR, RV",NA,NA,"ADSORPTION AND ABSORPTION OF HYDROGEN BY THIN PALLADIUM LAYERS","SURFACE SCIENCE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"62","2",NA,NA,NA,NA,"519","535",NA,"10.1016/0039-6028(77)90099-1","http://dx.doi.org/10.1016/0039-6028(77)90099-1",NA,NA,NA,"Chemistry, Physical; Physics, Condensed Matter",NA,"Chemistry; Physics",NA,NA,NA,NA,NA,NA,NA
"J","GERGEN, I; MICUSEMENIUC, R; HAIDUC, I",NA,NA,NA,"GERGEN, I; MICUSEMENIUC, R; HAIDUC, I",NA,NA,"MIXED-LIGAND NICKEL-(II) COMPLEXES CONTAINING TETRATHIOMOLYBDATO AND TETRATHIOARSENATO GROUPS AND DIAMINES","SYNTHESIS AND REACTIVITY IN INORGANIC AND METAL-ORGANIC CHEMISTRY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"7","3",NA,NA,NA,NA,"183","193",NA,"10.1080/00945717708055958","http://dx.doi.org/10.1080/00945717708055958",NA,NA,NA,"Chemistry, Inorganic & Nuclear",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
